strategy_dir,file_path,module_type,short_description,reusable_in_shared,reason,lines_of_code
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_050/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,467
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_099/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol_1m, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,146
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_099/run_backtest.py,data_utils,"functions: _trade_rows, _bars_per_year, _strategy_metrics, main",maybe,orchestration helpers can be templated in _shared/templates,220
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_099/run_cpcv.py,data_utils,"functions: _sanitize, _equity_returns, _purge, _embargo, _run_cpcv",yes,data loading/universe/calendar utilities belong in _shared/data,249
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_099/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,467
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_100/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol_1m, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,146
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_100/run_backtest.py,data_utils,"functions: _trade_rows, _bars_per_year, _strategy_metrics, main",maybe,orchestration helpers can be templated in _shared/templates,220
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_100/run_cpcv.py,data_utils,"functions: _build_per_bar_returns, _sanitize, main",yes,data loading/universe/calendar utilities belong in _shared/data,209
1m_klines_reversal,_graveyard/1m_klines_reversal/bb_reversion_rsi_1m_20260707_p3opt_100/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,467
1m_klines_reversal,_graveyard/1m_klines_reversal/vol_breakout_1m_15m_vpvr_confluence_u6_20260718/data_loader.py,data_utils,"functions: _normalize_ohlcv, _cache_path, load_symbol, _read_cfg, load_symbols",yes,data loading/universe/calendar utilities belong in _shared/data,121
1m_klines_reversal,_graveyard/1m_klines_reversal/vol_breakout_1m_15m_vpvr_confluence_u6_20260718/indicators.py,signal_generation,"functions: _cfg, sqrt_bars_per_year, realized_vol, vol_median, vol_regime",yes,generic indicator/signal functions should migrate to _shared/indicators,197
1m_klines_reversal,_graveyard/1m_klines_reversal/vol_breakout_1m_15m_vpvr_confluence_u6_20260718/run_backtest.py,data_utils,"functions: _daily_resampled_sharpe, _bootstrap_sharpe_ci, _envelope, _diagnostics, _write_equity_csv",maybe,orchestration helpers can be templated in _shared/templates,474
1m_klines_reversal,_graveyard/1m_klines_reversal/vol_breakout_1m_15m_vpvr_confluence_u6_20260718/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,356
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_iceberg_fade_v2_5m_20260711/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling; framework-specific freqtrade coupling,206
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_mtf_reversion_5m_consensus_20260710/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, _resample, _to_pandas_freq",yes,data loading/universe/calendar utilities belong in _shared/data,196
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_mtf_reversion_5m_consensus_20260710/framework_adapter_freqtrade.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific freqtrade coupling,290
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_mtf_reversion_5m_consensus_20260710/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,132
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_mtf_reversion_5m_consensus_20260710/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,424
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_kama_reversal_20260709/build_signals.py,signal_generation,"functions: _atr, _kama, _vpvr_poc, _kama_turn, build_signals",yes,generic indicator/signal functions should migrate to _shared/indicators,255
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_kama_reversal_20260709/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,153
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_kama_reversal_20260709/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,98
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_kama_reversal_20260709/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,378
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_volume_profile_break_20260709/build_signals.py,signal_generation,"functions: _atr, _vpvr_poc, _vpvr_value_area, _vol_ratio, _recent_failed_break",yes,generic indicator/signal functions should migrate to _shared/indicators,259
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_volume_profile_break_20260709/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, load_symbol, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,137
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_volume_profile_break_20260709/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling,362
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_volume_profile_break_20260709/framework_adapter_freqtrade.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific freqtrade coupling,264
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_volume_profile_break_20260709/run_backtest.py,data_utils,"functions: load_data, compute_metrics, _empty_metrics, write_trades_csv, write_equity_curve",maybe,orchestration helpers can be templated in _shared/templates,251
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_reversion_1m_volume_profile_break_20260709/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,180
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_sentiment_attention_1m_20260716/build_signals.py,signal_generation,"functions: _atr, _vpvr_poc, _z_score, build_signals",yes,generic indicator/signal functions should migrate to _shared/indicators,107
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_sentiment_attention_1m_20260716/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling,420
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_sentiment_attention_1m_20260716/framework_adapter_freqtrade.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific freqtrade coupling,318
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_sentiment_attention_1m_20260716/run_backtest.py,data_utils,"functions: _make_synthetic_data, _compute_metrics, main",maybe,orchestration helpers can be templated in _shared/templates,112
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_sentiment_attention_1m_20260716/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,143
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_xs_leadlag_5m_20260711/data_loader.py,data_utils,"functions: _load_1m, _resample_5m, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,74
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_xs_leadlag_5m_20260711/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling; framework-specific freqtrade coupling,470
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_xs_leadlag_5m_20260711/framework_adapter_freqtrade.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific freqtrade coupling,501
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_xs_leadlag_5m_20260711/run_backtest.py,data_utils,"functions: _summarise, _write_trades, _write_equity, main",maybe,orchestration helpers can be templated in _shared/templates,136
1m_klines_reversal,_graveyard/1m_klines_reversal/vpvr_xs_leadlag_5m_20260711/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,549
_indicators,_indicators/iter94_20260714.py,signal_generation,"functions: _true_range, _wilder_smooth, _wilder_atr, adx, realized_vol_bps",yes,generic indicator/signal functions should migrate to _shared/indicators,410
_indicators,_indicators/mtf_xs_pairs_base_20260718.py,signal_generation,"classes: Trade; functions: aggregate_ohlcv, align_lower_to_upper, wilder_atr, pair_zscore, zscore_slope",yes,generic indicator/signal functions should migrate to _shared/indicators,855
_indicators,_indicators/mtf_xs_runner_20260718.py,signal_generation,"classes: PairMetrics; functions: _summarise_pair, _portfolio_metrics, _dummy_index, write_metrics, _window_split_bounds",yes,generic indicator/signal functions should migrate to _shared/indicators,368
_indicators,_indicators/vpvr_levels.py,signal_generation,module-level code,yes,generic indicator/signal functions should migrate to _shared/indicators,47
_oos_rank_20260718,_oos_rank_20260718/oos_walk_forward.py,data_utils,"functions: bars_per_year, load_equity, oos_walk_forward, gates, main",yes,data loading/universe/calendar utilities belong in _shared/data,341
donchian_breakout_atr_1d_20260709,donchian_breakout_atr_1d_20260709/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, build_source_manifest, _read_1m, _resample_1d, load_symbol_1d",yes,data loading/universe/calendar utilities belong in _shared/data,206
donchian_breakout_atr_1d_20260709,donchian_breakout_atr_1d_20260709/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,99
donchian_breakout_atr_1d_20260709,donchian_breakout_atr_1d_20260709/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,417
funding_carry,_graveyard/funding_carry/funding_carry/data_loader.py,data_utils,"functions: _load_ohlcv_1m, _load_funding, _merge_funding, load_symbol_1m",yes,data loading/universe/calendar utilities belong in _shared/data,149
funding_carry,_graveyard/funding_carry/funding_carry/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling,336
funding_carry,_graveyard/funding_carry/funding_carry/framework_adapter_freqtrade.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific freqtrade coupling,403
funding_carry,_graveyard/funding_carry/funding_carry/run_framework_cv_multiwindow.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific backtrader coupling; framework-specific freqtrade coupling,129
funding_carry,_graveyard/funding_carry/funding_carry/run_u5.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,608
funding_carry,_graveyard/funding_carry/funding_carry/run_u5_multiwindow.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific backtrader coupling; framework-specific freqtrade coupling,256
funding_carry,_graveyard/funding_carry/funding_carry/sma34946/data_loader.py,data_utils,"functions: _load_ohlcv_1m, _load_funding, _merge_funding, load_symbol_1m",yes,data loading/universe/calendar utilities belong in _shared/data,110
funding_carry,_graveyard/funding_carry/funding_carry/sma34946/run_sma34946.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,384
funding_carry,_graveyard/funding_carry/funding_carry/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,399
funding_carry,_graveyard/funding_carry/funding_carry_asym/build_signals.py,signal_generation,"functions: _atr_from_close, _atr_ohlcv, _resolve_levels_at_bar, compute_signal, _vpvr_snapshot_levels",yes,generic indicator/signal functions should migrate to _shared/indicators,565
funding_carry,_graveyard/funding_carry/funding_carry_asym/data_loader.py,data_utils,"functions: _load_ohlcv, _load_funding, load_symbol, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,132
funding_carry,_graveyard/funding_carry/funding_carry_asym/framework_adapter_vectorbt.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific vectorbt coupling,217
funding_carry,_graveyard/funding_carry/funding_carry_asym/prototype.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,620
funding_carry,_graveyard/funding_carry/funding_carry_asym/run_backtest.py,data_utils,"functions: _load_tf, _daily_resampled_sharpe, _compute_metrics, _tf_to_freq, _write_equity_csv",maybe,orchestration helpers can be templated in _shared/templates,366
funding_carry,_graveyard/funding_carry/funding_carry_asym/sma34928_low_threshold.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,320
funding_carry,_graveyard/funding_carry/funding_carry_asym/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,211
funding_carry,_graveyard/funding_carry/funding_carry_asym/sweep_top_combo.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific freqtrade coupling,367
funding_carry,_graveyard/funding_carry/funding_carry_asym/vpvr_hvn_persistence.py,signal_generation,"classes: RespectResult; functions: load_4h_ohlcv, generate_hvns, _atr_at, score_zone_respect, run_for_symbol",yes,generic indicator/signal functions should migrate to _shared/indicators,454
funding_carry,_graveyard/funding_carry/funding_oscillator_mr/data_loader.py,data_utils,"functions: _load_ohlcv_1m, _load_funding, _merge_funding, load_symbol_1m",yes,data loading/universe/calendar utilities belong in _shared/data,129
funding_carry,_graveyard/funding_carry/funding_oscillator_mr/run_u5noncarry.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,557
funding_carry,_graveyard/funding_carry/funding_oscillator_mr/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,294
funding_carry,_graveyard/funding_carry/sma_34925_btc_funding_delta/backtest_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific backtrader coupling,255
funding_carry,_graveyard/funding_carry/sma_34925_btc_funding_delta/backtest_inhouse.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific freqtrade coupling,363
funding_carry,_graveyard/funding_carry/sma_34925_btc_funding_delta/backtest_vectorbt.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific vectorbt coupling,218
funding_carry,_graveyard/funding_carry/sma_34925_btc_funding_delta/sensitivity_sweep.py,data_utils,functions: main,yes,data loading/universe/calendar utilities belong in _shared/data,81
impl_vpvr_multi_tf_funding,impl_vpvr_multi_tf_funding/build_signals.py,signal_generation,"functions: _atr, _vpvr_snapshot_levels, _shifted_snapshot_per_bar, build_signals_1m, build_signals_15m",yes,generic indicator/signal functions should migrate to _shared/indicators,498
impl_vpvr_multi_tf_funding,impl_vpvr_multi_tf_funding/combine_signals.py,signal_generation,"functions: _is_allowed, _align_to_1m, _vote_per_tf, _resolve_conflicts_and_cascade, _count_agree",yes,generic indicator/signal functions should migrate to _shared/indicators,447
impl_vpvr_multi_tf_funding,impl_vpvr_multi_tf_funding/data_loader.py,data_utils,"functions: _load_ohlcv, _load_funding, _attach_funding, load_tf, load_all",yes,data loading/universe/calendar utilities belong in _shared/data,155
impl_vpvr_multi_tf_funding,impl_vpvr_multi_tf_funding/run_backtest.py,data_utils,"functions: _daily_resampled_sharpe, _compute_metrics, _slice_window, _tf_freq, _run_fold",maybe,orchestration helpers can be templated in _shared/templates,535
impl_vpvr_multi_tf_funding,impl_vpvr_multi_tf_funding/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,405
loid_vpvr_confluence_20260717,loid_vpvr_confluence_20260717/build_signals.py,signal_generation,"functions: _atr, _vpvr_snapshot_levels, build_signals",yes,generic indicator/signal functions should migrate to _shared/indicators,220
loid_vpvr_confluence_20260717,loid_vpvr_confluence_20260717/run_backtest.py,data_utils,"functions: _tf_params, _load_tf, _daily_resampled_sharpe, _compute_metrics, _tf_to_freq",maybe,orchestration helpers can be templated in _shared/templates,349
loid_vpvr_confluence_20260717,loid_vpvr_confluence_20260717/run_g1g7_backtest.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific vectorbt coupling; framework-specific backtrader coupling; framework-specific freqtrade coupling,407
loid_vpvr_confluence_20260717,loid_vpvr_confluence_20260717/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,228
momentum_trend_btc_only_softer_stop_1h_20260712,momentum_trend_btc_only_softer_stop_1h_20260712/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, _source_filename, _normalize_ohlcv, _read_source, build_source_manifest",yes,data loading/universe/calendar utilities belong in _shared/data,210
momentum_trend_btc_only_softer_stop_1h_20260712,momentum_trend_btc_only_softer_stop_1h_20260712/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling,445
momentum_trend_btc_only_softer_stop_1h_20260712,momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,172
momentum_trend_btc_only_softer_stop_1h_20260712,momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,531
momentum_trend_btc_only_softer_stop_1h_20260712,momentum_trend_btc_only_softer_stop_1h_20260712/walk_forward.py,data_utils,"classes: WindowSlice; functions: build_schedule, slice_1h_4h, _per_symbol_equity_curve, _metrics, _run_slice",yes,data loading/universe/calendar utilities belong in _shared/data,429
momentum_trend_multi_tf_atr_scaled_1h_20260712,momentum_trend_multi_tf_atr_scaled_1h_20260712/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, _source_filename, _normalize_ohlcv, _read_source, build_source_manifest",yes,data loading/universe/calendar utilities belong in _shared/data,210
momentum_trend_multi_tf_atr_scaled_1h_20260712,momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,172
momentum_trend_multi_tf_atr_scaled_1h_20260712,momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,497
momentum_trend_multi_tf_atr_scaled_1h_20260712,momentum_trend_multi_tf_atr_scaled_1h_20260712/walk_forward.py,data_utils,"classes: WindowSlice; functions: build_schedule, slice_1h_4h, _per_symbol_equity_curve, _metrics, _run_slice",yes,data loading/universe/calendar utilities belong in _shared/data,429
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, _source_filename, _normalize_ohlcv, _read_source, build_source_manifest",yes,data loading/universe/calendar utilities belong in _shared/data,210
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,172
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,539
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/walk_forward.py,data_utils,"classes: WindowSlice; functions: build_schedule, slice_1h_4h, _per_symbol_equity_curve, _metrics, _run_slice",yes,data loading/universe/calendar utilities belong in _shared/data,429
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/data_loader.py,data_utils,"classes: SourceManifest; functions: _sha256, _source_filename, _normalize_ohlcv, _read_source, build_source_manifest",yes,data loading/universe/calendar utilities belong in _shared/data,210
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/framework_adapter_backtrader.py,anti_pattern,strategy-specific or duplicated code,no,framework adapter duplicated per strategy; framework-specific backtrader coupling,310
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py,data_utils,"functions: _trade_rows, main",maybe,orchestration helpers can be templated in _shared/templates,172
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,497
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/walk_forward.py,data_utils,"classes: WindowSlice; functions: build_schedule, slice_1h_4h, _per_symbol_equity_curve, _metrics, _run_slice",yes,data loading/universe/calendar utilities belong in _shared/data,429
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/data_loader.py,data_utils,"functions: _load_1m, load_all, load_funding",yes,data loading/universe/calendar utilities belong in _shared/data,43
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/diagnose.py,anti_pattern,strategy-specific or duplicated code,no,one-off diagnostic/script not reusable,68
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/inspect_full.py,anti_pattern,strategy-specific or duplicated code,no,one-off diagnostic/script not reusable,45
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/inspect_trades.py,anti_pattern,strategy-specific or duplicated code,no,one-off diagnostic/script not reusable,36
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py,data_utils,functions: main,maybe,orchestration helpers can be templated in _shared/templates,128
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/smoke_test.py,anti_pattern,strategy-specific or duplicated code,no,one-off diagnostic/script not reusable,28
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,651
mtf_xs_pairs_1m_15m_2h_h1_20260718,mtf_xs_pairs_1m_15m_2h_h1_20260718/data_loader.py,data_utils,"functions: _load_1m, load_all, load_funding",yes,data loading/universe/calendar utilities belong in _shared/data,35
mtf_xs_pairs_1m_15m_2h_h1_20260718,mtf_xs_pairs_1m_15m_2h_h1_20260718/run_backtest.py,data_utils,"functions: _write_trades_csv, _write_equity_csv, main",maybe,orchestration helpers can be templated in _shared/templates,139
mtf_xs_pairs_1m_15m_2h_h1_20260718,mtf_xs_pairs_1m_15m_2h_h1_20260718/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,32
mtf_xs_pairs_1m_15m_2h_h1_20260718,mtf_xs_pairs_1m_15m_2h_h1_20260718/walk_forward.py,data_utils,functions: main,yes,data loading/universe/calendar utilities belong in _shared/data,52
mtf_xs_pairs_1m_15m_2h_h2_20260718,mtf_xs_pairs_1m_15m_2h_h2_20260718/data_loader.py,data_utils,"functions: _load_1m, load_all, load_funding",yes,data loading/universe/calendar utilities belong in _shared/data,28
mtf_xs_pairs_1m_15m_2h_h2_20260718,mtf_xs_pairs_1m_15m_2h_h2_20260718/run_backtest.py,data_utils,functions: main,maybe,orchestration helpers can be templated in _shared/templates,49
mtf_xs_pairs_1m_15m_2h_h2_20260718,mtf_xs_pairs_1m_15m_2h_h2_20260718/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,31
mtf_xs_pairs_1m_15m_2h_h2_20260718,mtf_xs_pairs_1m_15m_2h_h2_20260718/walk_forward.py,data_utils,functions: main,yes,data loading/universe/calendar utilities belong in _shared/data,48
mtf_xs_pairs_1m_15m_2h_h3_20260718,mtf_xs_pairs_1m_15m_2h_h3_20260718/data_loader.py,data_utils,"functions: _load_1m, _load_funding_one, load_all, load_funding",yes,data loading/universe/calendar utilities belong in _shared/data,49
mtf_xs_pairs_1m_15m_2h_h3_20260718,mtf_xs_pairs_1m_15m_2h_h3_20260718/framework_validate.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific backtrader coupling; framework-specific freqtrade coupling,227
mtf_xs_pairs_1m_15m_2h_h3_20260718,mtf_xs_pairs_1m_15m_2h_h3_20260718/sizing_sweep.py,risk_sizing,"classes: VariantSpec; functions: sizing_baseline_atr, sizing_atr_multiplier, sizing_vol_target, sizing_regime_conditional, kelly_size",yes,position sizing primitives belong in _shared/sizing,580
mtf_xs_pairs_1m_15m_2h_h3_20260718,mtf_xs_pairs_1m_15m_2h_h3_20260718/strategy.py,entry,strategy entry/run script,maybe,entry files are strategy-specific but can inspire templates,32
mtf_xs_pairs_1m_15m_2h_h3_20260718,mtf_xs_pairs_1m_15m_2h_h3_20260718/write_winner_trades.py,anti_pattern,strategy-specific or duplicated code,no,framework-specific backtrader coupling; framework-specific freqtrade coupling,122
